Year,iso_code3,ef_ippu_tonne_ch2f2_per_tonne_production_electronics
2010,ABW,0.0
2011,ABW,0.0
2012,ABW,0.0
2013,ABW,0.0
2014,ABW,0.0
2015,ABW,0.0
2016,ABW,0.0
2017,ABW,0.0
2018,ABW,0.0
2019,ABW,0.0
2020,ABW,0.0
2010,AFG,0.0
2011,AFG,0.0
2012,AFG,0.0
2013,AFG,0.0
2014,AFG,0.0
2015,AFG,0.0
2016,AFG,0.0
2017,AFG,0.0
2018,AFG,0.0
2019,AFG,0.0
2020,AFG,0.0
2010,AGO,4.849965924694941e-05
2011,AGO,3.3545634867167306e-05
2012,AGO,1.4958127099634025e-05
2013,AGO,1.737970200424213e-05
2014,AGO,1.9347975286300057e-05
2015,AGO,3.507967719578577e-05
2016,AGO,3.484044205001923e-05
2017,AGO,3.2589965519897475e-05
2018,AGO,4.93940182930346e-05
2019,AGO,4.098811239119738e-05
2020,AGO,4.544231936475211e-05
2010,ALB,6.4206842037181e-05
2011,ALB,5.38935834776833e-05
2012,ALB,4.643408224021879e-05
2013,ALB,4.3368145276647776e-05
2014,ALB,6.359766962854202e-05
2015,ALB,6.712013051770798e-05
2016,ALB,6.238979445817258e-05
2017,ALB,5.972572820497395e-05
2018,ALB,5.354646220830621e-05
2019,ALB,5.046013766613103e-05
2020,ALB,4.01191295146648e-05
2010,AND,3.445976929272519e-05
2011,AND,3.628672753939401e-05
2012,AND,4.339384382447072e-05
2013,AND,4.6641809135740177e-05
2014,AND,5.193561857149733e-05
2015,AND,6.415605326981129e-05
2016,AND,6.91944306510626e-05
2017,AND,7.413004865869609e-05
2018,AND,7.887051957099083e-05
2019,AND,7.847731276686834e-05
2020,AND,8.068352683701532e-05
2010,ARE,0.0001707072265379
2011,ARE,0.0001081027418867
2012,ARE,5.620490273694478e-05
2013,ARE,6.88813669329395e-05
2014,ARE,8.863577216762347e-05
2015,ARE,0.0001196167470716
2016,ARE,0.0001405445873767
2017,ARE,9.88085177338638e-05
2018,ARE,9.458392787097568e-05
2019,ARE,9.43640159856652e-05
2020,ARE,0.0001089833537095
2010,ARG,9.95370418609494e-05
2011,ARG,7.073857921145e-05
2012,ARG,4.743039863372151e-05
2013,ARG,4.472910744727512e-05
2014,ARG,7.137576534544894e-05
2015,ARG,7.046994232092622e-05
2016,ARG,8.991875442050568e-05
2017,ARG,7.47775509895429e-05
2018,ARG,0.0001041703110254
2019,ARG,0.0001064868964949
2020,ARG,0.0001261982277925
2010,ARM,0.0001627851189933
2011,ARM,0.0001150522269741
2012,ARM,8.381734135640895e-05
2013,ARM,0.0001296124128156
2014,ARM,0.0001457125331411
2015,ARM,0.0002473941388095
2016,ARM,0.0001478806563138
2017,ARM,0.0001312061598961
2018,ARM,0.0001103352405744
2019,ARM,0.0001141015593579
2020,ARM,0.0001017548997514
2010,ASM,0.0
2011,ASM,0.0
2012,ASM,0.0
2013,ASM,0.0
2014,ASM,0.0
2015,ASM,0.0
2016,ASM,0.0
2017,ASM,0.0
2018,ASM,0.0
2019,ASM,0.0
2020,ASM,0.0
2010,ATG,0.0
2011,ATG,0.0
2012,ATG,0.0
2013,ATG,0.0
2014,ATG,0.0
2015,ATG,0.0
2016,ATG,0.0
2017,ATG,0.0
2018,ATG,0.0
2019,ATG,0.0
2020,ATG,0.0
2010,AUS,4.737332322588919e-05
2011,AUS,5.15871393130327e-05
2012,AUS,5.021299171190255e-05
2013,AUS,5.644655423303143e-05
2014,AUS,9.854130583958826e-05
2015,AUS,0.0001191188979025
2016,AUS,0.0001268614570268
2017,AUS,0.0001057613652544
2018,AUS,0.0001011685458644
2019,AUS,0.0001025043444992
2020,AUS,0.0001031696418721
2010,AUT,1.6905602855761952e-05
2011,AUT,2.0544771575479613e-05
2012,AUT,2.304115581231493e-05
2013,AUT,2.4434921854641037e-05
2014,AUT,2.616618838807572e-05
2015,AUT,3.14270978236957e-05
2016,AUT,3.2635144800859795e-05
2017,AUT,3.2168717933074875e-05
2018,AUT,3.543432703701295e-05
2019,AUT,3.6668915789705166e-05
2020,AUT,3.7934744636203446e-05
2010,AZE,0.0
2011,AZE,0.0
2012,AZE,0.0
2013,AZE,0.0
2014,AZE,0.0
2015,AZE,0.0
2016,AZE,0.0
2017,AZE,0.0
2018,AZE,0.0
2019,AZE,0.0
2020,AZE,0.0
2010,BDI,0.0005618030580367
2011,BDI,0.0003414401710062
2012,BDI,0.0003059098299248
2013,BDI,0.0003041021189936
2014,BDI,0.0003496630002936
2015,BDI,0.0002166687818402
2016,BDI,0.0003177410316515
2017,BDI,0.0002088377227234
2018,BDI,0.0005234047682298
2019,BDI,0.0006491094292524
2020,BDI,0.0003550914359752
2010,BEL,2.022079935367849e-05
2011,BEL,2.324330362448625e-05
2012,BEL,2.8068637384130413e-05
2013,BEL,3.215341022417904e-05
2014,BEL,3.7522631917309736e-05
2015,BEL,4.950410125032132e-05
2016,BEL,5.669781176698676e-05
2017,BEL,6.886396023162221e-05
2018,BEL,6.774565333251386e-05
2019,BEL,5.656833767700158e-05
2020,BEL,5.5654471971195896e-05
2010,BEN,0.0001534837309248
2011,BEN,9.348875020526034e-05
2012,BEN,7.595823053470093e-05
2013,BEN,8.774159994083006e-05
2014,BEN,0.000109351839079
2015,BEN,0.0001527417622051
2016,BEN,0.0001543956106314
2017,BEN,0.0001902819493145
2018,BEN,0.0001779410779639
2019,BEN,0.0002026162261751
2020,BEN,0.0003018111234183
2010,BFA,0.0008149678620097
2011,BFA,0.0004883882446156
2012,BFA,0.0002898620651005
2013,BFA,0.0003855423392814
2014,BFA,0.0004276329457547
2015,BFA,0.0005203609827156
2016,BFA,0.000711384550564
2017,BFA,0.000438070882306
2018,BFA,0.0004548269787466
2019,BFA,0.0004098701403463
2020,BFA,0.000535295704991
2010,BGD,7.418942511284531e-05
2011,BGD,7.077847578256255e-05
2012,BGD,5.943378954961529e-05
2013,BGD,5.174004030134782e-05
2014,BGD,4.450945589124783e-05
2015,BGD,5.878991787719472e-05
2016,BGD,3.630162931592189e-05
2017,BGD,3.174568981488056e-05
2018,BGD,3.24911124356713e-05
2019,BGD,3.48962360124131e-05
2020,BGD,3.142079811257216e-05
2010,BGR,0.0002500606726041
2011,BGR,0.0002732789866036
2012,BGR,0.0003330374590923
2013,BGR,0.0004121888691963
2014,BGR,0.0004284175494974
2015,BGR,0.0005257924217722
2016,BGR,0.0006278114386043
2017,BGR,0.0009520878430093
2018,BGR,0.0010914529359019
2019,BGR,0.0010080654206337
2020,BGR,0.0009832706723394
2010,BHR,0.0002841775495426
2011,BHR,0.0003765906499477
2012,BHR,0.000227450530899
2013,BHR,0.0002812721739051
2014,BHR,0.0003431293964997
2015,BHR,0.000371680823883
2016,BHR,0.0003944148045136
2017,BHR,0.0002849010557307
2018,BHR,0.0002600830648583
2019,BHR,0.000259978875035
2020,BHR,0.000228958214632
2010,BHS,0.0
2011,BHS,0.0
2012,BHS,0.0
2013,BHS,0.0
2014,BHS,0.0
2015,BHS,0.0
2016,BHS,0.0
2017,BHS,0.0
2018,BHS,0.0
2019,BHS,0.0
2020,BHS,0.0
2010,BIH,0.0
2011,BIH,0.0
2012,BIH,0.0
2013,BIH,0.0
2014,BIH,0.0
2015,BIH,0.0
2016,BIH,0.0
2017,BIH,0.0
2018,BIH,0.0
2019,BIH,0.0
2020,BIH,0.0
2010,BLR,0.0
2011,BLR,0.0
2012,BLR,0.0
2013,BLR,0.0
2014,BLR,0.0
2015,BLR,0.0
2016,BLR,0.0
2017,BLR,0.0
2018,BLR,0.0
2019,BLR,0.0
2020,BLR,0.0
2010,BLZ,0.0
2011,BLZ,0.0
2012,BLZ,0.0
2013,BLZ,0.0
2014,BLZ,0.0
2015,BLZ,0.0
2016,BLZ,0.0
2017,BLZ,0.0
2018,BLZ,0.0
2019,BLZ,0.0
2020,BLZ,0.0
2010,BMU,0.0
2011,BMU,0.0
2012,BMU,0.0
2013,BMU,0.0
2014,BMU,0.0
2015,BMU,0.0
2016,BMU,0.0
2017,BMU,0.0
2018,BMU,0.0
2019,BMU,0.0
2020,BMU,0.0
2010,BOL,0.0
2011,BOL,0.0
2012,BOL,0.0
2013,BOL,0.0
2014,BOL,0.0
2015,BOL,0.0
2016,BOL,0.0
2017,BOL,0.0
2018,BOL,0.0
2019,BOL,0.0
2020,BOL,0.0
2010,BRA,1.5823412340834536e-05
2011,BRA,1.5342320174903964e-05
2012,BRA,1.8598419972984e-05
2013,BRA,1.992043565130981e-05
2014,BRA,2.3473001918005163e-05
2015,BRA,3.536115887494542e-05
2016,BRA,3.679054044619638e-05
2017,BRA,3.142651430957916e-05
2018,BRA,3.946703504690567e-05
2019,BRA,3.963922972354979e-05
2020,BRA,4.682257170416232e-05
2010,BRB,0.0
2011,BRB,0.0
2012,BRB,0.0
2013,BRB,0.0
2014,BRB,0.0
2015,BRB,0.0
2016,BRB,0.0
2017,BRB,0.0
2018,BRB,0.0
2019,BRB,0.0
2020,BRB,0.0
2010,BRN,8.593169904054378e-05
2011,BRN,4.921789660268705e-05
2012,BRN,3.678981136359776e-05
2013,BRN,3.136013884021302e-05
2014,BRN,3.901399311067077e-05
2015,BRN,7.278497440181066e-05
2016,BRN,9.216010963958204e-05
2017,BRN,0.0001023349659956
2018,BRN,8.314963302019468e-05
2019,BRN,0.0001404758560339
2020,BRN,0.0001503283179279
2010,BTN,0.0
2011,BTN,0.0
2012,BTN,0.0
2013,BTN,0.0
2014,BTN,0.0
2015,BTN,0.0
2016,BTN,0.0
2017,BTN,0.0
2018,BTN,0.0
2019,BTN,0.0
2020,BTN,0.0
2010,BWA,0.0001323185640121
2011,BWA,7.136402972798486e-05
2012,BWA,8.993478012271866e-05
2013,BWA,0.00011043083721
2014,BWA,0.0001081970865897
2015,BWA,0.0001266524345379
2016,BWA,0.0001072984883758
2017,BWA,7.957062556719237e-05
2018,BWA,8.73406571756263e-05
2019,BWA,8.372230955094398e-05
2020,BWA,0.0001172566137829
2010,CAF,0.0014066757999539
2011,CAF,0.0011508103942812
2012,CAF,0.0006944456092629
2013,CAF,0.0012050444121741
2014,CAF,0.0011512469487638
2015,CAF,0.0011370415980614
2016,CAF,0.0014513599978698
2017,CAF,0.0012982205646152
2018,CAF,0.0010327023106124
2019,CAF,0.001404718535711
2020,CAF,0.0009650351898307
2010,CAN,1.512346229671172e-05
2011,CAN,1.8543828304113837e-05
2012,CAN,2.1092939701506977e-05
2013,CAN,2.4140183491945948e-05
2014,CAN,2.810776697610756e-05
2015,CAN,3.547662922144267e-05
2016,CAN,4.072026969176351e-05
2017,CAN,5.1143841305765947e-05
2018,CAN,6.439611997582619e-05
2019,CAN,6.23972121598883e-05
2020,CAN,6.927387174361028e-05
2010,CHE,1.853362605236535e-05
2011,CHE,1.9789007970946355e-05
2012,CHE,2.424533661882617e-05
2013,CHE,2.749178984421728e-05
2014,CHE,2.6860670461201952e-05
2015,CHE,3.077851507850277e-05
2016,CHE,3.402109999753377e-05
2017,CHE,3.887751982233021e-05
2018,CHE,4.0087436464708e-05
2019,CHE,3.954158774924343e-05
2020,CHE,4.200194511452335e-05
2010,CHL,6.237929529571284e-05
2011,CHL,0.0001546839039213
2012,CHL,0.0001608906193136
2013,CHL,0.0001047248596015
2014,CHL,0.0001348944875974
2015,CHL,0.0001364326186841
2016,CHL,0.0001482480767652
2017,CHL,0.0002032055838856
2018,CHL,0.0002661370554569
2019,CHL,0.0002643093047673
2020,CHL,0.0002351465282279
2010,CHN,7.726568080456386e-05
2011,CHN,9.36956571830738e-05
2012,CHN,0.0001041317367699
2013,CHN,0.0001111394484931
2014,CHN,0.0001169135147668
2015,CHN,0.0001136725912705
2016,CHN,0.0001218843233177
2017,CHN,0.0001301278365906
2018,CHN,0.0001318569629803
2019,CHN,0.0001253200820956
2020,CHN,0.0001198429347594
2010,CIV,0.0005609226111773
2011,CIV,0.0003728999482759
2012,CIV,0.0002491537664421
2013,CIV,0.000195465363101
2014,CIV,0.0002019919267159
2015,CIV,0.0002723888114235
2016,CIV,0.0002522088721322
2017,CIV,0.0002139898122848
2018,CIV,0.0002247980643506
2019,CIV,0.0001884121571836
2020,CIV,0.0001757509410216
2010,CMR,0.0007476522839694
2011,CMR,0.0004232247809168
2012,CMR,0.0003383671194349
2013,CMR,0.00024079924783
2014,CMR,0.0002783137627116
2015,CMR,0.0004048832836277
2016,CMR,0.0003112110788668
2017,CMR,0.0003775147998144
2018,CMR,0.0002941502254344
2019,CMR,0.0003778829009142
2020,CMR,0.0003017804913932
2010,COD,0.0013575746947129
2011,COD,0.0004693907654622
2012,COD,0.0002532796108527
2013,COD,0.0002842712159134
2014,COD,0.00034929258899
2015,COD,0.0003474041690213
2016,COD,0.0004610140125687
2017,COD,0.0005915446709532
2018,COD,0.0004166494508625
2019,COD,0.0002536214208364
2020,COD,0.0003150031778263
2010,COG,0.0001864658653516
2011,COG,0.0001133471820867
2012,COG,6.851413910566067e-05
2013,COG,6.275842597445639e-05
2014,COG,9.427715011744692e-05
2015,COG,0.0001700657140615
2016,COG,0.0002890573975875
2017,COG,0.0002333448635423
2018,COG,0.0002765048016823
2019,COG,0.000282164411607
2020,COG,0.0002447216669516
2010,COL,9.700886213827213e-05
2011,COL,7.509464918816954e-05
2012,COL,4.735381000306947e-05
2013,COL,4.253218313410528e-05
2014,COL,5.534415141197924e-05
2015,COL,8.548569935999579e-05
2016,COL,9.863696385054436e-05
2017,COL,8.76522158500543e-05
2018,COL,8.08399582071755e-05
2019,COL,7.79554918921898e-05
2020,COL,8.81965334350967e-05
2010,COM,0.0
2011,COM,0.0
2012,COM,0.0
2013,COM,0.0
2014,COM,0.0
2015,COM,0.0
2016,COM,0.0
2017,COM,0.0
2018,COM,0.0
2019,COM,0.0
2020,COM,0.0
2010,CPV,0.0
2011,CPV,0.0
2012,CPV,0.0
2013,CPV,0.0
2014,CPV,0.0
2015,CPV,0.0
2016,CPV,0.0
2017,CPV,0.0
2018,CPV,0.0
2019,CPV,0.0
2020,CPV,0.0
2010,CRI,4.286393848750354e-06
2011,CRI,2.190179639582064e-06
2012,CRI,1.2641716617600574e-06
2013,CRI,1.142647349962483e-06
2014,CRI,1.844812826490325e-06
2015,CRI,1.1128545329365478e-05
2016,CRI,1.2879316309654952e-05
2017,CRI,1.5153485561852784e-05
2018,CRI,1.6478024428387963e-05
2019,CRI,1.6481037474860848e-05
2020,CRI,1.2204426974653291e-05
2010,CUB,7.17816619738726e-05
2011,CUB,6.023452225730583e-05
2012,CUB,3.774762671644811e-05
2013,CUB,3.280847436839939e-05
2014,CUB,4.3853929535606095e-05
2015,CUB,3.4712119912118106e-05
2016,CUB,2.981757695485269e-05
2017,CUB,3.11956253531523e-05
2018,CUB,4.054490423626605e-05
2019,CUB,3.333183283991303e-05
2020,CUB,3.70755421590532e-05
2010,CUW,0.0
2011,CUW,0.0
2012,CUW,0.0
2013,CUW,0.0
2014,CUW,0.0
2015,CUW,0.0
2016,CUW,0.0
2017,CUW,0.0
2018,CUW,0.0
2019,CUW,0.0
2020,CUW,0.0
2010,CYM,7.17816619738726e-05
2011,CYM,6.023452225730583e-05
2012,CYM,3.774762671644811e-05
2013,CYM,3.280847436839939e-05
2014,CYM,4.3853929535606095e-05
2015,CYM,3.4712119912118106e-05
2016,CYM,2.981757695485269e-05
2017,CYM,3.11956253531523e-05
2018,CYM,4.054490423626605e-05
2019,CYM,3.333183283991303e-05
2020,CYM,3.70755421590532e-05
2010,CYP,0.0002584667162678
2011,CYP,0.0002929468376635
2012,CYP,0.000304097095015
2013,CYP,0.0003696897739419
2014,CYP,0.0005122719915553
2015,CYP,0.0006668689395383
2016,CYP,0.0007721113651072
2017,CYP,0.0008842450597812
2018,CYP,0.0008743637820127
2019,CYP,0.0008769510551896
2020,CYP,0.0011701474468284
2010,CZE,8.422689043024519e-05
2011,CZE,9.6778388184612e-05
2012,CZE,0.0001134272468293
2013,CZE,0.0001169217263866
2014,CZE,0.0001285105115889
2015,CZE,0.0001493539156294
2016,CZE,0.0001738454196083
2017,CZE,0.00018582086895
2018,CZE,0.0001804095248683
2019,CZE,0.0001698348285123
2020,CZE,0.0001656571844592
2010,DEU,5.554080600569082e-06
2011,DEU,6.1585966533186845e-06
2012,DEU,7.622739094552397e-06
2013,DEU,8.218732473848334e-06
2014,DEU,8.576029777271807e-06
2015,DEU,1.0721314769003691e-05
2016,DEU,1.1268227118489185e-05
2017,DEU,1.2498732737240217e-05
2018,DEU,1.3000042203472644e-05
2019,DEU,1.30694478239524e-05
2020,DEU,1.2941149512550973e-05
2010,DJI,0.0
2011,DJI,0.0
2012,DJI,0.0
2013,DJI,0.0
2014,DJI,0.0
2015,DJI,0.0
2016,DJI,0.0
2017,DJI,0.0
2018,DJI,0.0
2019,DJI,0.0
2020,DJI,0.0
2010,DMA,0.0
2011,DMA,0.0
2012,DMA,0.0
2013,DMA,0.0
2014,DMA,0.0
2015,DMA,0.0
2016,DMA,0.0
2017,DMA,0.0
2018,DMA,0.0
2019,DMA,0.0
2020,DMA,0.0
2010,DNK,9.270759069267412e-06
2011,DNK,8.844267159597112e-06
2012,DNK,9.489224428677713e-06
2013,DNK,1.0237102714289757e-05
2014,DNK,9.351856607184834e-06
2015,DNK,1.1491648608653573e-05
2016,DNK,1.290278373442181e-05
2017,DNK,1.4265124862069765e-05
2018,DNK,1.4086610491885924e-05
2019,DNK,1.4112816079341095e-05
2020,DNK,1.417418161027995e-05
2010,DOM,8.88375198085384e-05
2011,DOM,6.339820963440957e-05
2012,DOM,4.829175814096151e-05
2013,DOM,4.9901476968214655e-05
2014,DOM,6.0744865796619456e-05
2015,DOM,7.091652766813946e-05
2016,DOM,6.216147866144821e-05
2017,DOM,6.089579390174565e-05
2018,DOM,4.974579608176016e-05
2019,DOM,4.4836207555031466e-05
2020,DOM,4.507053251888983e-05
2010,DZA,7.35687999460952e-05
2011,DZA,4.42285355168332e-05
2012,DZA,3.214467734999351e-05
2013,DZA,2.860893904271747e-05
2014,DZA,2.999839807257714e-05
2015,DZA,4.944638416491801e-05
2016,DZA,4.933479690727528e-05
2017,DZA,6.270987959935841e-05
2018,DZA,5.84317702431557e-05
2019,DZA,5.668464143232223e-05
2020,DZA,7.421628240371391e-05
2010,ECU,4.781805404737403e-05
2011,ECU,3.5257101159317825e-05
2012,ECU,1.9754246052306403e-05
2013,ECU,1.952761337288381e-05
2014,ECU,2.489860883721423e-05
2015,ECU,2.89461260436592e-05
2016,ECU,2.873579222669322e-05
2017,ECU,3.0422431382534933e-05
2018,ECU,3.438882468668051e-05
2019,ECU,3.348991729905898e-05
2020,ECU,3.592232605840138e-05
2010,EGY,0.0002134476255736
2011,EGY,0.0001500102009719
2012,EGY,9.43904954325294e-05
2013,EGY,9.052397986992856e-05
2014,EGY,8.79990098093523e-05
2015,EGY,9.967713010397924e-05
2016,EGY,8.862830497153253e-05
2017,EGY,0.0001205787510432
2018,EGY,0.0001154262203958
2019,EGY,9.946011981065936e-05
2020,EGY,9.38248536430584e-05
2010,ERI,0.0
2011,ERI,0.0
2012,ERI,0.0
2013,ERI,0.0
2014,ERI,0.0
2015,ERI,0.0
2016,ERI,0.0
2017,ERI,0.0
2018,ERI,0.0
2019,ERI,0.0
2020,ERI,0.0
2010,ESP,0.0001013249058384
2011,ESP,0.0001115434396135
2012,ESP,0.0001464707932338
2013,ESP,0.0001535761485718
2014,ESP,0.0001380684363889
2015,ESP,0.0001044175111546
2016,ESP,9.810152459666852e-05
2017,ESP,9.79886638179698e-05
2018,ESP,6.891641198902023e-05
2019,ESP,6.758105106653955e-05
2020,ESP,6.730564791300426e-05
2010,EST,1.800175114931758e-05
2011,EST,1.3357634360968188e-05
2012,EST,1.632401088060484e-05
2013,EST,1.9081674551332983e-05
2014,EST,1.6543637224041377e-05
2015,EST,2.276565410229089e-05
2016,EST,2.253986026479812e-05
2017,EST,2.8530589744020813e-05
2018,EST,3.197754074638118e-05
2019,EST,3.5726143612631495e-05
2020,EST,3.539217903963829e-05
2010,ETH,0.0
2011,ETH,0.0
2012,ETH,0.0
2013,ETH,0.0
2014,ETH,0.0
2015,ETH,0.0
2016,ETH,0.0
2017,ETH,0.0
2018,ETH,0.0
2019,ETH,0.0
2020,ETH,0.0
2010,FIN,1.1489097320545106e-05
2011,FIN,1.2025807636669828e-05
2012,FIN,1.4242294722432355e-05
2013,FIN,1.586912013051637e-05
2014,FIN,1.5001746225368293e-05
2015,FIN,1.8401025012392052e-05
2016,FIN,2.1675430611612823e-05
2017,FIN,2.3909574399333877e-05
2018,FIN,2.784555491596174e-05
2019,FIN,2.878366612634528e-05
2020,FIN,2.8763096789859245e-05
2010,FJI,0.0004869117636621
2011,FJI,0.0002852091972511
2012,FJI,0.0001979062591088
2013,FJI,0.0001776968845647
2014,FJI,0.0001098853695068
2015,FJI,0.000230628365221
2016,FJI,0.0001513261134115
2017,FJI,0.000147601786357
2018,FJI,0.0001498999084161
2019,FJI,0.0001975758528189
2020,FJI,0.0001803760918957
2010,FRA,3.445976929272519e-05
2011,FRA,3.628672753939401e-05
2012,FRA,4.339384382447072e-05
2013,FRA,4.6641809135740177e-05
2014,FRA,5.193561857149733e-05
2015,FRA,6.415605326981129e-05
2016,FRA,6.91944306510626e-05
2017,FRA,7.413004865869609e-05
2018,FRA,7.887051957099083e-05
2019,FRA,7.847731276686834e-05
2020,FRA,8.068352683701532e-05
2010,FRO,2.1248942222859585e-06
2011,FRO,1.882471874352818e-06
2012,FRO,2.2810399058859245e-06
2013,FRO,2.025207405202737e-06
2014,FRO,2.4291340990665542e-06
2015,FRO,3.718885539445074e-06
2016,FRO,5.933169157662576e-06
2017,FRO,6.1135067203238485e-06
2018,FRO,7.967194314339123e-06
2019,FRO,8.517139588214605e-06
2020,FRO,8.296649935761258e-06
2010,FSM,0.0
2011,FSM,0.0
2012,FSM,0.0
2013,FSM,0.0
2014,FSM,0.0
2015,FSM,0.0
2016,FSM,0.0
2017,FSM,0.0
2018,FSM,0.0
2019,FSM,0.0
2020,FSM,0.0
2010,GAB,0.0004261383856609
2011,GAB,0.000230329055069
2012,GAB,0.0001993502575104
2013,GAB,0.0001890867648755
2014,GAB,0.0002356255855084
2015,GAB,0.0003906655061686
2016,GAB,0.0003881426589872
2017,GAB,0.0004183713069245
2018,GAB,0.000388586080157
2019,GAB,0.0003201789050832
2020,GAB,0.0003927019310864
2010,GBR,2.660803652299747e-05
2011,GBR,3.0090283080541516e-05
2012,GBR,3.603977256355206e-05
2013,GBR,3.955166372098422e-05
2014,GBR,3.879298692434096e-05
2015,GBR,4.215353407515852e-05
2016,GBR,5.124448466659811e-05
2017,GBR,5.915160356733111e-05
2018,GBR,6.148877083506635e-05
2019,GBR,6.010290846583927e-05
2020,GBR,6.239638025001533e-05
2010,GEO,0.0003180191466279
2011,GEO,0.0004681586144663
2012,GEO,0.0010913090549241
2013,GEO,0.0009022629068087
2014,GEO,0.0008694825233552
2015,GEO,0.0010527018661432
2016,GEO,0.0011010665529099
2017,GEO,0.0010500054027597
2018,GEO,0.0011639948326059
2019,GEO,0.0012089799447054
2020,GEO,0.0013484123077611
2010,GHA,0.0002958587429534
2011,GHA,0.0001691273259299
2012,GHA,0.0001237599858335
2013,GHA,9.826564723023015e-05
2014,GHA,0.0001281913443025
2015,GHA,0.0001531975955675
2016,GHA,0.0001407353493498
