"year","location_code","prodinit_ippu_plastic_tonne"
2010,"ABW",1792.77956934574
2011,"ABW",1936.66467714128
2012,"ABW",1820.24977541266
2013,"ABW",1800.47674262246
2014,"ABW",2126.28662490387
2015,"ABW",2616.31467535734
2016,"ABW",3562.96425170633
2017,"ABW",2821.27507096035
2018,"ABW",2869.00695191352
2019,"ABW",3633.43724288473
2020,"ABW",2543.46505848782
2010,"AGO",64733.6520812565
2011,"AGO",92202.0951297288
2012,"AGO",159074.890943211
2013,"AGO",146405.715513717
2014,"AGO",179894.405467215
2015,"AGO",133136.575644329
2016,"AGO",113046.837391965
2017,"AGO",174301.579495198
2018,"AGO",140030.522891432
2019,"AGO",195865.878006287
2020,"AGO",158921.589245634
2010,"ALB",25326.8533756267
2011,"ALB",28421.5551299399
2012,"ALB",32101.6178588623
2013,"ALB",33600.3629801794
2014,"ALB",32354.6261459603
2015,"ALB",36558.492406254
2016,"ALB",39164.4953853084
2017,"ALB",41525.5648872964
2018,"ALB",47750.681581748
2019,"ALB",46501.0432862722
2020,"ALB",52311.9956699038
2010,"ARE",740326.937054397
2011,"ARE",887946.991972835
2012,"ARE",897945.692570622
2013,"ARE",884382.885938787
2014,"ARE",950144.339702144
2015,"ARE",906528.404488063
2016,"ARE",907032.507658625
2017,"ARE",926831.239027911
2018,"ARE",1103328.8718194
2019,"ARE",1085502.60738257
2020,"ARE",943491.125771426
2010,"ARG",1826142.29683459
2011,"ARG",2009992.66367638
2012,"ARG",2235095.6081046
2013,"ARG",2185507.01148996
2014,"ARG",2069621.2160139
2015,"ARG",2506486.28623638
2016,"ARG",1982546.82124287
2017,"ARG",2119847.22121093
2018,"ARG",1609495.64501998
2019,"ARG",1523597.21565779
2020,"ARG",1468061.21081864
2010,"ARM",12010.4772288678
2011,"ARM",14823.735522228
2012,"ARM",13951.457820412
2013,"ARM",14256.7605078265
2014,"ARM",18449.0868371215
2015,"ARM",13889.5974861502
2016,"ARM",12880.5053502332
2017,"ARM",14358.3473390882
2018,"ARM",16311.4152122488
2019,"ARM",19279.8237781982
2020,"ARM",22096.3253197848
2010,"ASM",1129.62969442211
2011,"ASM",248.176404861661
2012,"ASM",235.419791531584
2013,"ASM",205.155317059242
2014,"ASM",658.944389548816
2015,"ASM",348.364940511203
2016,"ASM",166.425324693505
2017,"ASM",598.562492243713
2018,"ASM",180.41727989003
2019,"ASM",194.832979874657
2020,"ASM",177.30076392088
2010,"ATG",2047.77024895033
2011,"ATG",1382.60391771927
2012,"ATG",2609.93003701165
2013,"ATG",879.939943538299
2014,"ATG",937.861618099594
2015,"ATG",1221.19394971085
2016,"ATG",1273.66345113583
2017,"ATG",1482.48296317132
2018,"ATG",1601.3852199128
2019,"ATG",1627.5980320302
2020,"ATG",1653.17206254953
2010,"AUS",2292628.2856085
2011,"AUS",2572704.23633148
2012,"AUS",2568855.46898976
2013,"AUS",2633154.29488525
2014,"AUS",2546021.86620488
2015,"AUS",2616206.03473377
2016,"AUS",2584270.1811921
2017,"AUS",2743306.05732103
2018,"AUS",2792448.18874953
2019,"AUS",2598544.98042062
2020,"AUS",2652131.26623113
2010,"AUT",2218201.61396563
2011,"AUT",2323008.01333348
2012,"AUT",2252755.70680948
2013,"AUT",2373689.30773845
2014,"AUT",2351289.92158322
2015,"AUT",2201603.2720158
2016,"AUT",2249815.31229241
2017,"AUT",2326392.69371273
2018,"AUT",2434669.03097045
2019,"AUT",2323478.40471292
2020,"AUT",2199854.8299357
2010,"AZE",144235.644683568
2011,"AZE",162244.001492311
2012,"AZE",180089.01535523
2013,"AZE",174821.491189956
2014,"AZE",181031.898872435
2015,"AZE",108552.570675072
2016,"AZE",75185.2573543429
2017,"AZE",76115.502788549
2018,"AZE",86455.0577596849
2019,"AZE",105909.577421316
2020,"AZE",103100.40330202
2010,"BDI",5081.04061717312
2011,"BDI",2864.96072533143
2012,"BDI",6643.97939784687
2013,"BDI",5992.69570914409
2014,"BDI",9000.14142418342
2015,"BDI",10137.4700078348
2016,"BDI",13774.4126495672
2017,"BDI",13464.0422490933
2018,"BDI",8115.81621294998
2019,"BDI",6214.97119205574
2020,"BDI",9477.4726256967
2010,"BEL",4794369.84553454
2011,"BEL",4898333.78352444
2012,"BEL",4750217.39307026
2013,"BEL",5014809.30944145
2014,"BEL",4966721.94200344
2015,"BEL",4029971.03962915
2016,"BEL",3944914.26673011
2017,"BEL",3985839.86958564
2018,"BEL",4080759.92430061
2019,"BEL",3967493.13567333
2020,"BEL",3561752.0446192
2010,"BEN",18638.4861375732
2011,"BEN",33701.2476117831
2012,"BEN",33216.8830324857
2013,"BEN",26204.8953032317
2014,"BEN",27691.371079775
2015,"BEN",28991.8805169573
2016,"BEN",25346.440187468
2017,"BEN",19634.1962414827
2018,"BEN",22163.5162921628
2019,"BEN",23790.9323448901
2020,"BEN",30506.5427759346
2010,"BFA",20488.5859631882
2011,"BFA",31826.9289192329
2012,"BFA",26921.2762132312
2013,"BFA",29109.2394083158
2014,"BFA",23802.3285555026
2015,"BFA",45590.2027928285
2016,"BFA",60249.7181899837
2017,"BFA",66015.0377660404
2018,"BFA",55428.8420934482
2019,"BFA",41855.3795122197
2020,"BFA",40128.7539413991
2010,"BGD",423733.941617625
2011,"BGD",356413.93767723
2012,"BGD",394965.437971382
2013,"BGD",485144.809115346
2014,"BGD",604424.713857234
2015,"BGD",664713.477010229
2016,"BGD",1044495.19615752
2017,"BGD",1119093.83059636
2018,"BGD",1115460.35019892
2019,"BGD",1221083.00782758
2020,"BGD",1217080.91818242
2010,"BGR",225550.036735781
2011,"BGR",234315.025747367
2012,"BGR",236256.026514066
2013,"BGR",257033.059450828
2014,"BGR",271661.18806155
2015,"BGR",269126.067113831
2016,"BGR",292725.713767361
2017,"BGR",310814.156407423
2018,"BGR",348831.469615136
2019,"BGR",362043.888564687
2020,"BGR",378345.277457223
2010,"BHR",38167.3120464103
2011,"BHR",30459.9090668975
2012,"BHR",38890.3477812995
2013,"BHR",35893.7108878407
2014,"BHR",45799.6041789593
2015,"BHR",59390.1217052739
2016,"BHR",63638.9643233404
2017,"BHR",55483.7402709547
2018,"BHR",61378.1527792199
2019,"BHR",61582.5836724185
2020,"BHR",65695.1421072217
2010,"BHS",34099.5395936716
2011,"BHS",77480.0257804874
2012,"BHS",47534.1863850474
2013,"BHS",46411.7641389916
2014,"BHS",47677.5581013319
2015,"BHS",43216.8358340015
2016,"BHS",33745.5501464281
2017,"BHS",36855.3450892197
2018,"BHS",34800.5253220485
2019,"BHS",30730.0729624229
2020,"BHS",32261.0473458715
2010,"BIH",78847.9961780922
2011,"BIH",81252.064344235
2012,"BIH",88832.0290852363
2013,"BIH",98957.8019539466
2014,"BIH",104577.065770352
2015,"BIH",106849.927013059
2016,"BIH",116785.281310975
2017,"BIH",118654.560826716
2018,"BIH",132456.30550995
2019,"BIH",143780.097054629
2020,"BIH",152954.409600244
2010,"BLR",208731.086272532
2011,"BLR",163986.873521943
2012,"BLR",230972.58674219
2013,"BLR",319858.149816313
2014,"BLR",357159.863267832
2015,"BLR",266778.140271713
2016,"BLR",264057.225276572
2017,"BLR",292378.155988744
2018,"BLR",294732.040128185
2019,"BLR",332085.891638113
2020,"BLR",311449.665342748
2010,"BLZ",4189.70162090842
2011,"BLZ",3617.24065667909
2012,"BLZ",4011.19892590223
2013,"BLZ",4891.83749815423
2014,"BLZ",4423.27235229073
2015,"BLZ",5341.01423068925
2016,"BLZ",5199.38565183082
2017,"BLZ",5299.90956766647
2018,"BLZ",5234.87550034346
2019,"BLZ",5775.00258805983
2020,"BLZ",4792.15390325043
2010,"BMU",6858.85060717211
2011,"BMU",9345.38925955926
2012,"BMU",10269.1003443543
2013,"BMU",14051.6978258347
2014,"BMU",4453.00288203389
2015,"BMU",5366.82249793384
2016,"BMU",5868.08035653938
2017,"BMU",6044.41739026656
2018,"BMU",4787.2911951333
2019,"BMU",4206.52608905554
2020,"BMU",5990.14849581865
2010,"BOL",66924.8288439833
2011,"BOL",66795.5123110172
2012,"BOL",77622.0786000312
2013,"BOL",85923.6228908713
2014,"BOL",73491.7628913474
2015,"BOL",88002.2704395251
2016,"BOL",100707.384242517
2017,"BOL",93399.1991204019
2018,"BOL",98756.4184372336
2019,"BOL",97841.6191628539
2020,"BOL",92614.4444712669
2010,"BRA",7001403.98270078
2011,"BRA",7838699.13658761
2012,"BRA",7418240.22368673
2013,"BRA",7418570.89718131
2014,"BRA",7528366.47424202
2015,"BRA",6323137.72887435
2016,"BRA",6491465.69732823
2017,"BRA",7569580.31702119
2018,"BRA",6295153.10651528
2019,"BRA",6023144.32620431
2020,"BRA",4635387.51223029
2010,"BRB",12986.6053645243
2011,"BRB",8250.03618090996
2012,"BRB",9347.3081906083
2013,"BRB",7923.31120128849
2014,"BRB",8279.10448946568
2015,"BRB",8384.52564784728
2016,"BRB",9206.3704300075
2017,"BRB",9474.8973137811
2018,"BRB",10754.7102835331
2019,"BRB",10862.9793115011
2020,"BRB",10755.4914674829
2010,"BRN",17761.8649721228
2011,"BRN",17520.5336871796
2012,"BRN",22282.3597593917
2013,"BRN",33391.2267973702
2014,"BRN",31792.9850767109
2015,"BRN",26269.6384723152
2016,"BRN",14892.0665770519
2017,"BRN",15624.0004979657
2018,"BRN",12978.055461374
2019,"BRN",11123.6269173831
2020,"BRN",9921.78746278535
2010,"BTN",1936.38226368095
2011,"BTN",2219.7095432502
2012,"BTN",1165.22018539216
2013,"BTN",1581.60671777745
2014,"BTN",1953.38422985819
2015,"BTN",3552.04506382024
2016,"BTN",3620.82318890233
2017,"BTN",4012.99163657836
2018,"BTN",5043.40212078746
2019,"BTN",5589.67242997564
2020,"BTN",4141.58767640178
2010,"BWA",22039.4056616492
2011,"BWA",21164.2380142401
2012,"BWA",20996.0664134881
2013,"BWA",18194.207341274
2014,"BWA",21232.9402284368
2015,"BWA",20844.6862015167
2016,"BWA",21755.2625504518
2017,"BWA",26179.5540750814
2018,"BWA",28665.8122140757
2019,"BWA",35094.413916292
2020,"BWA",25886.2615366474
2010,"CAF",2224.03528129671
2011,"CAF",2929.82937025338
2012,"CAF",2840.77342039104
2013,"CAF",5055.26842005535
2014,"CAF",2927.12571711167
2015,"CAF",2808.38622182504
2016,"CAF",1651.8834138127
2017,"CAF",1874.93511514794
2018,"CAF",1710.24614329511
2019,"CAF",2043.60457145644
2020,"CAF",1403.54503624091
2010,"CAN",6854864.19791734
2011,"CAN",7014815.24243087
2012,"CAN",7431935.01399115
2013,"CAN",7526636.69094718
2014,"CAN",7496037.79671838
2015,"CAN",7480326.59750738
2016,"CAN",7490179.72910612
2017,"CAN",7873151.26431975
2018,"CAN",8147009.79428118
2019,"CAN",8038116.20596263
2020,"CAN",7744171.88193944
2010,"CHE",1531369.82531336
2011,"CHE",1605651.51254756
2012,"CHE",1546055.52033272
2013,"CHE",1482002.89102493
2014,"CHE",1669184.07133235
2015,"CHE",1608877.23383363
2016,"CHE",1531170.59858064
2017,"CHE",1601747.71324898
2018,"CHE",1698801.54855208
2019,"CHE",1644970.40833197
2020,"CHE",1499068.15503145
2010,"CHL",592513.087581214
2011,"CHL",605905.191935058
2012,"CHL",712128.653118511
2013,"CHL",714326.889475143
2014,"CHL",694889.802535787
2015,"CHL",768084.545396517
2016,"CHL",780198.559288636
2017,"CHL",859563.757594347
2018,"CHL",873676.616636567
2019,"CHL",811725.367814465
2020,"CHL",752788.991693945
2010,"CHN",30311792.1462845
2011,"CHN",33058823.8883214
2012,"CHN",37857944.5861451
2013,"CHN",41893423.3664164
2014,"CHN",44961908.0628174
2015,"CHN",51802899.7386931
2016,"CHN",54518102.1472418
2017,"CHN",58833929.3336034
2018,"CHN",65537297.5102034
2019,"CHN",71243792.2574889
2020,"CHN",73376476.543521
2010,"CIV",86331.169393447
2011,"CIV",96219.9789985817
2012,"CIV",96307.7919131062
2013,"CIV",138520.59472163
2014,"CIV",167079.911621051
2015,"CIV",173684.416804169
2016,"CIV",193199.979865288
2017,"CIV",202809.888267373
2018,"CIV",207493.228186537
2019,"CIV",212281.408682147
2020,"CIV",219510.868451478
2010,"CMR",48665.5168192382
2011,"CMR",48939.4082411443
2012,"CMR",53046.013217248
2013,"CMR",61608.7127261995
2014,"CMR",70125.8500222601
2015,"CMR",79367.4882973476
2016,"CMR",79597.5141614741
2017,"CMR",82877.2127030814
2018,"CMR",92506.9051601629
2019,"CMR",85289.3266105738
2020,"CMR",114894.229942218
2010,"COD",28409.188775223
2011,"COD",33459.8801402298
2012,"COD",44760.4442680728
2013,"COD",50715.5376474315
2014,"COD",46898.826862202
2015,"COD",59767.6557322077
2016,"COD",45831.4610752927
2017,"COD",41716.0420822057
2018,"COD",60848.1228167104
2019,"COD",85847.3784640518
2020,"COD",65213.9814632719
2010,"COG",11311.4068973802
2011,"COG",15887.7448769693
2012,"COG",20448.5764142271
2013,"COG",24775.9718397746
2014,"COG",18693.6155230144
2015,"COG",12979.3144044306
2016,"COG",8389.21102140821
2017,"COG",10409.0537426271
2018,"COG",13682.754913764
2019,"COG",11146.6425141447
2020,"COG",12273.822475666
2010,"COL",1438229.90743133
2011,"COL",1425357.72856855
2012,"COL",1586274.80085478
2013,"COL",1653179.69997503
2014,"COL",1746141.8733385
2015,"COL",1631857.94805462
2016,"COL",1568655.92841641
2017,"COL",1692658.70706002
2018,"COL",1822699.46956141
2019,"COL",1737059.43275921
2020,"COL",1562425.89597436
2010,"COM",1931.66798547973
2011,"COM",622.513376191793
2012,"COM",1491.35347649029
2013,"COM",2271.76005240948
2014,"COM",1974.33692142268
2015,"COM",5411.04638581256
2016,"COM",7421.19787701334
2017,"COM",4955.47921056278
2018,"COM",3648.2215600865
2019,"COM",2976.5622510455
2020,"COM",1997.66091630258
2010,"CPV",3452.9261416151
2011,"CPV",3014.37406222864
2012,"CPV",3045.11881206827
2013,"CPV",3418.82747665475
2014,"CPV",2990.55794304646
2015,"CPV",3024.56532540971
2016,"CPV",3685.22159874854
2017,"CPV",2781.04907290165
2018,"CPV",3703.21102874337
2019,"CPV",3756.58165500548
2020,"CPV",3540.6548457669
2010,"CRI",233377.370606698
2011,"CRI",283015.889972216
2012,"CRI",279636.623310321
2013,"CRI",303519.71779403
2014,"CRI",329338.601179952
2015,"CRI",381036.874589203
2016,"CRI",390797.185407436
2017,"CRI",377004.947040244
2018,"CRI",366201.743292061
2019,"CRI",390249.154506288
2020,"CRI",379341.706513841
2010,"CUB",112370.110792082
2011,"CUB",100834.190091708
2012,"CUB",116449.879991998
2013,"CUB",117803.905674051
2014,"CUB",116306.710076511
2015,"CUB",186003.095032227
2016,"CUB",190744.333218144
2017,"CUB",198062.254117902
2018,"CUB",164609.583571745
2019,"CUB",194632.65539662
2020,"CUB",182971.381520074
2010,"CUW",3950.30355961749
2011,"CUW",3346.63549656559
2012,"CUW",3564.49876301324
2013,"CUW",2945.9215743229
2014,"CUW",6571.31155061468
2015,"CUW",5074.48917999144
2016,"CUW",3169.61322242864
2017,"CUW",2979.65513038591
2018,"CUW",3950.30355961749
2019,"CUW",3950.30355961749
2020,"CUW",3950.30355961749
2010,"CYM",3246.60193668735
2011,"CYM",3246.60193668735
2012,"CYM",3246.60193668735
2013,"CYM",3246.60193668735
2014,"CYM",3246.60193668735
2015,"CYM",3246.60193668735
2016,"CYM",3246.60193668735
2017,"CYM",2664.3895368266
2018,"CYM",3185.62607313598
2019,"CYM",3435.93436531872
2020,"CYM",3700.45777146811
2010,"CYP",47071.4510567793
2011,"CYP",49059.3765012549
2012,"CYP",45409.3199622351
2013,"CYP",37924.9309817634
2014,"CYP",29004.0247311339
2015,"CYP",36350.3633518975
2016,"CYP",32664.1053441372
2017,"CYP",35744.6892999887
2018,"CYP",36828.9126489761
2019,"CYP",38281.8075200332
2020,"CYP",27404.0983637615
2010,"CZE",1344248.4476201
2011,"CZE",1433972.96003429
2012,"CZE",1337440.22455405
2013,"CZE",1438031.32153115
2014,"CZE",1433472.96040343
2015,"CZE",1390262.20928308
2016,"CZE",1484007.73921918
2017,"CZE",1650334.85364443
2018,"CZE",1819270.39334848
2019,"CZE",1764225.43574635
2020,"CZE",1648397.58865098
2010,"DEU",19320670.5304889
2011,"DEU",20526471.7862663
2012,"DEU",19529613.9740785
2013,"DEU",20485274.1061261
2014,"DEU",21055070.7957408
2015,"DEU",19333913.6668552
2016,"DEU",20110541.0286017
2017,"DEU",21279744.1914008
2018,"DEU",22336694.0074052
2019,"DEU",21175771.4881516
2020,"DEU",20270782.064219
2010,"DJI",15249.3862181768
2011,"DJI",15249.3862181768
2012,"DJI",15249.3862181768
2013,"DJI",6635.63966115317
2014,"DJI",9325.37299584341
2015,"DJI",14198.8174259214
2016,"DJI",17644.5068577016
2017,"DJI",16024.0720721276
2018,"DJI",18041.7376046297
2019,"DJI",18594.0024509336
2020,"DJI",21530.9406771038
2010,"DMA",2135.34045260071
2011,"DMA",2601.50001198087
2012,"DMA",2128.19007346674
2013,"DMA",2234.75850594829
2014,"DMA",2328.27422702561
2015,"DMA",2513.55451005585
2016,"DMA",2390.79557753482
2017,"DMA",2386.15923991009
2018,"DMA",2751.5655470483
2019,"DMA",2385.57090506347
2020,"DMA",2385.57090506347
2010,"DNK",1074701.40348317
2011,"DNK",1107281.47312327
2012,"DNK",1073173.03497638
2013,"DNK",1071413.29799793
2014,"DNK",1110663.37252213
2015,"DNK",1028211.51489321
2016,"DNK",1051037.23349654
2017,"DNK",1084376.21915317
2018,"DNK",1107823.90222895
2019,"DNK",1015459.69661197
2020,"DNK",1002664.8144847
2010,"DOM",312479.999120832
2011,"DOM",355297.519009392
2012,"DOM",329907.052349926
2013,"DOM",342863.636436522
2014,"DOM",409157.455519449
2015,"DOM",444829.300044985
2016,"DOM",464726.510804118
2017,"DOM",495133.552705071
2018,"DOM",534335.928743316
2019,"DOM",545622.112267746
2020,"DOM",558346.375898192
2010,"DZA",322427.817052639
2011,"DZA",430266.459210261
2012,"DZA",447582.909439601
2013,"DZA",522216.951129907
2014,"DZA",508847.79732926
2015,"DZA",460926.801148946
2016,"DZA",504609.494265273
2017,"DZA",488609.242729006
2018,"DZA",587961.029063368
2019,"DZA",603011.672823643
2020,"DZA",507942.774504264
2010,"ECU",256166.177728094
2011,"ECU",283164.278793368
2012,"ECU",316731.779632379
2013,"ECU",345275.608806198
2014,"ECU",373758.378416046
2015,"ECU",408522.402065329
2016,"ECU",436587.643264139
2017,"ECU",434947.903497555
2018,"ECU",452552.949343296
2019,"ECU",424190.452460617
2020,"ECU",386455.35119185
2010,"EGY",1043453.42927476
2011,"EGY",1249499.48919175
2012,"EGY",1572424.86572752
2013,"EGY",1789783.19166949
2014,"EGY",2123353.93629323
2015,"EGY",2162184.1284885
2016,"EGY",2242876.72618274
2017,"EGY",1675214.54081737
2018,"EGY",1760622.25200497
2019,"EGY",2075409.05891475
2020,"EGY",2194324.1422442
2010,"ERI",2353.93790890211
2011,"ERI",2014.89153543208
2012,"ERI",2184.41472216709
2013,"ERI",2184.41472216709
2014,"ERI",2184.41472216709
2015,"ERI",2184.41472216709
2016,"ERI",2184.41472216709
2017,"ERI",2184.41472216709
2018,"ERI",2184.41472216709
2019,"ERI",2184.41472216709
2020,"ERI",2184.41472216709
2010,"ESP",6474836.75239246
2011,"ESP",6251790.20078547
2012,"ESP",5658068.91596562
2013,"ESP",5908808.27559751
2014,"ESP",6049637.41608194
2015,"ESP",5881563.23003197
2016,"ESP",6046050.50148134
2017,"ESP",6360151.64015941
2018,"ESP",6771346.98945917
2019,"ESP",6532499.93123216
2020,"ESP",6203140.58700959
2010,"EST",101561.975090758
2011,"EST",102680.912914532
2012,"EST",102680.994100662
2013,"EST",110350.31237182
2014,"EST",118776.730259442
2015,"EST",112595.793901156
2016,"EST",122317.150620865
2017,"EST",140015.154241018
2018,"EST",147008.231068463
2019,"EST",144515.682905609
2020,"EST",135231.547319498
2010,"ETH",122943.155762494
2011,"ETH",46663.885430539
2012,"ETH",62874.1231273636
2013,"ETH",98836.8943962357
2014,"ETH",202354.396332571
2015,"ETH",92261.7028534542
2016,"ETH",114342.143740749
2017,"ETH",128355.321837558
2018,"ETH",142503.083609053
2019,"ETH",176271.281162059
2020,"ETH",164968.725135356
2010,"FIN",1114255.84568974
2011,"FIN",1145463.18454805
2012,"FIN",1089324.28441094
2013,"FIN",1152011.22433418
2014,"FIN",1172099.73584711
2015,"FIN",1078948.91894215
2016,"FIN",1060473.40184604
2017,"FIN",1082399.88841099
2018,"FIN",1104817.05959616
2019,"FIN",1032776.76218504
2020,"FIN",1017466.54497259
2010,"FJI",8467.333284787
2011,"FJI",9966.72767284158
2012,"FJI",10161.9471681324
2013,"FJI",9894.05813853862
2014,"FJI",12055.3537419403
2015,"FJI",14782.0943591525
2016,"FJI",17641.6345641963
2017,"FJI",17389.4379475135
2018,"FJI",18749.3510260009
2019,"FJI",14170.5966066334
2020,"FJI",15269.1468362913
2010,"FRA",12849567.5551798
2011,"FRA",13032049.2475856
2012,"FRA",12352149.3637813
2013,"FRA",12686950.2179886
2014,"FRA",12641154.6738512
2015,"FRA",11407486.2383968
2016,"FRA",11704217.8058595
2017,"FRA",12243962.1608542
2018,"FRA",12552961.7054519
2019,"FRA",12025652.865204
2020,"FRA",11438384.4560733
2010,"FRO",3302.27537465023
2011,"FRO",3600.8521412805
2012,"FRO",3148.96898292747
2013,"FRO",3934.13448878247
2014,"FRO",4177.96415987241
2015,"FRO",4098.59102597446
2016,"FRO",4463.16567531842
2017,"FRO",4734.13166908615
2018,"FRO",5147.28987307161
2019,"FRO",6017.41554151894
2020,"FRO",5998.27021810322
2010,"FSM",249.347294139325
2011,"FSM",236.992444238085
2012,"FSM",271.27400553527
2013,"FSM",297.462152693714
2014,"FSM",533.318910783765
2015,"FSM",336.581421210153
